Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassCoupledModified,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode_Javascript,CountLineCode_Php,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe_Javascript,CountStmtExe_Php
Directory Structure/AntennaPod/core/build/generated/ap_generated_sources/freeDebug,1.29,1.29,1.29,1,261.57,28,194.71,38.86,0,7,78,14,175,7,175,272,2,350,175,8,4,4,334,1831,196,1363,744,387,272,225,0,406,638,318,321,225,225,225,175,43,2,2,2,1,1,2,3,0,0,0.2,225,225,225,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Directory Structure/AntennaPod/core/build/generated/ap_generated_sources/freeDebug/out,1.29,1.29,1.29,1,261.57,28,194.71,38.86,0,7,78,14,175,7,175,272,2,350,175,8,4,4,334,1831,196,1363,744,387,272,225,0,406,638,318,321,225,225,225,175,43,2,2,2,1,1,2,3,0,0,0.2,225,225,225,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Directory Structure/AntennaPod/core/build/generated/ap_generated_sources/freeDebug/out/com,1.14,1.14,1.14,1,37.5,5,31,1.5,0,2,0,0,7,2,7,14,2,14,7,4,0,0,10,75,10,62,41,11,3,8,0,30,40,29,11,8,8,8,7,0,2,2,2,1,0,2,1,0,0,0.05,8,8,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Directory Structure/AntennaPod/core/build/generated/ap_generated_sources/freeDebug/out/de,1.29,1.29,1.29,1,351.2,37.2,260.2,53.8,0,5,78,14,168,5,168,258,0,336,168,4,4,4,324,1756,186,1301,703,376,269,217,0,376,598,289,310,217,217,217,168,43,2,2,2,1,1,2,3,0,0,0.21,217,217,217,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Directory Structure/AntennaPod/core/build/generated/ap_generated_sources/freeDebug/out/com/bumptech,1.14,1.14,1.14,1,37.5,5,31,1.5,0,2,0,0,7,2,7,14,2,14,7,4,0,0,10,75,10,62,41,11,3,8,0,30,40,29,11,8,8,8,7,0,2,2,2,1,0,2,1,0,0,0.05,8,8,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Directory Structure/AntennaPod/core/build/generated/ap_generated_sources/freeDebug/out/com/bumptech/glide,1.14,1.14,1.14,1,37.5,5,31,1.5,0,2,0,0,7,2,7,14,2,14,7,4,0,0,10,75,10,62,41,11,3,8,0,30,40,29,11,8,8,8,7,0,2,2,2,1,0,2,1,0,0,0.05,8,8,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Directory Structure/AntennaPod/core/build/generated/ap_generated_sources/freeDebug/out/de/danoeh,1.29,1.29,1.29,1,351.2,37.2,260.2,53.8,0,5,78,14,168,5,168,258,0,336,168,4,4,4,324,1756,186,1301,703,376,269,217,0,376,598,289,310,217,217,217,168,43,2,2,2,1,1,2,3,0,0,0.21,217,217,217,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Directory Structure/AntennaPod/core/build/generated/ap_generated_sources/freeDebug/out/de/danoeh/antennapod,1.29,1.29,1.29,1,351.2,37.2,260.2,53.8,0,5,78,14,168,5,168,258,0,336,168,4,4,4,324,1756,186,1301,703,376,269,217,0,376,598,289,310,217,217,217,168,43,2,2,2,1,1,2,3,0,0,0.21,217,217,217,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Directory Structure/AntennaPod/core/build/generated/ap_generated_sources/freeDebug/out/de/danoeh/antennapod/core,1.29,1.29,1.29,1,351.2,37.2,260.2,53.8,0,5,78,14,168,5,168,258,0,336,168,4,4,4,324,1756,186,1301,703,376,269,217,0,376,598,289,310,217,217,217,168,43,2,2,2,1,1,2,3,0,0,0.21,217,217,217,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Directory Structure/AntennaPod/core/build/generated/ap_generated_sources/freeDebug/out/de/danoeh/antennapod/core/glide,1.29,1.29,1.29,1,425,44,314,67,0,4,76,12,166,4,166,256,0,332,166,4,2,4,322,1700,176,1256,688,350,268,214,0,360,578,276,302,214,214,214,166,42,2,2,2,1,1,2,3,0,0,0.21,214,214,214,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
